,0
0,0.001
1,0.00199
2,0.00298
3,0.00397
4,0.004959999999999999
5,0.005949999999999999
6,0.006939999999999998
7,0.007929999999999998
8,0.008919999999999997
9,0.009909999999999997
10,0.010899999999999996
11,0.011889999999999996
12,0.012879999999999996
13,0.013869999999999995
14,0.014859999999999995
15,0.015849999999999996
16,0.016839999999999997
17,0.01783
18,0.01882
19,0.01981
20,0.020800000000000003
21,0.021790000000000004
22,0.022780000000000005
23,0.023770000000000006
24,0.024760000000000008
25,0.02575000000000001
26,0.02674000000000001
27,0.02773000000000001
28,0.028720000000000013
29,0.029710000000000014
30,0.030700000000000015
31,0.03169000000000002
32,0.032680000000000015
33,0.03367000000000001
34,0.03466000000000001
35,0.03565000000000001
36,0.036640000000000006
37,0.037630000000000004
38,0.03862
39,0.03961
40,0.0406
41,0.041589999999999995
42,0.04257999999999999
43,0.04356999999999999
44,0.04455999999999999
45,0.045549999999999986
46,0.046539999999999984
47,0.04752999999999998
48,0.04851999999999998
49,0.04950999999999998
50,0.050499999999999975
51,0.05148999999999997
52,0.05247999999999997
53,0.05346999999999997
54,0.05445999999999997
55,0.055449999999999965
56,0.05643999999999996
57,0.05742999999999996
58,0.05841999999999996
59,0.059409999999999956
60,0.060399999999999954
61,0.06138999999999995
62,0.06237999999999995
63,0.06336999999999995
64,0.06435999999999996
65,0.06534999999999996
66,0.06633999999999997
67,0.06732999999999997
68,0.06831999999999998
69,0.06930999999999998
70,0.07029999999999999
71,0.07128999999999999
72,0.07228
73,0.07327
74,0.07426
75,0.07525000000000001
76,0.07624000000000002
77,0.07723000000000002
78,0.07822000000000003
79,0.07921000000000003
80,0.08020000000000004
81,0.08119000000000004
82,0.08218000000000004
83,0.08317000000000005
84,0.08416000000000005
85,0.08515000000000006
86,0.08614000000000006
87,0.08713000000000007
88,0.08812000000000007
89,0.08911000000000008
90,0.09010000000000008
91,0.09109000000000009
92,0.09208000000000009
93,0.0930700000000001
94,0.0940600000000001
95,0.0950500000000001
96,0.09604000000000011
97,0.09703000000000012
98,0.09802000000000012
99,0.09901000000000013
100,0.10000000000000013
